state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct,Dose1_diff,Dose2_diff
NC,2021,8,0.08201144310235216,0.8251462174189443,0.09283916083916063,0.023239669421487558,0.08989828353464717,0.034882390336935784,0.11992371265098535,0.17279084551811835,0.22551811824539095,53.467741935483865,44.91290322580645,0.0,3.6774193548387046,2.061290322580639
NC,2021,9,0.07842088607594938,0.8318702531645575,0.08970886075949365,0.015512447257383984,0.10220464135021097,0.047130801687763714,0.10284810126582283,0.14864978902953596,0.2307489451476794,57.84333333333333,48.19666666666665,0.0,4.375591397849462,3.2837634408601986
NC,2021,10,0.07973136915077991,0.8227504332755631,0.09749566724436738,0.04563310225303294,0.1026169844020797,0.03528596187175043,0.13306759098786827,0.1692894280762565,0.22136915077989605,62.032258064516135,51.529032258064525,2.0387096774193547,4.188924731182809,3.332365591397874
NC,2021,11,0.06802257336343115,0.8208306997742668,0.11114898419864558,0.09451851015801348,0.1382392776523702,0.05126410835214446,0.1135440180586907,0.14494356659142207,0.2267268623024831,67.32999999999998,53.52,10.366666666666667,5.297741935483849,1.9909677419354779
NC,2021,12,0.07820374999999995,0.8313137500000002,0.09047375000000006,0.041364375,0.097025,0.030887499999999967,0.13160000000000005,0.15346250000000006,0.2092625,73.69032258064517,55.741935483870975,17.267741935483873,6.360322580645189,2.221935483870972
NC,2022,1,0.06642015209125474,0.8414942965779464,0.092074144486692,0.07760969581749051,0.11889733840304186,0.03859315589353612,0.11794676806083652,0.15614068441064638,0.24110266159695826,79.05161290322579,57.622580645161314,22.5,5.361290322580615,1.8806451612903388
NC,2022,2,0.07760344827586207,0.8327586206896552,0.08962068965517242,0.030505603448275857,0.09758620689655167,0.045,0.13935344827586202,0.22517241379310346,0.2382758620689656,81.73928571428571,58.96785714285714,24.696428571428577,2.687672811059926,1.3452764976958278
NC,2022,3,0.07882580645161287,0.8289032258064517,0.09229032258064516,0.01580580645161291,0.1055483870967742,0.024645161290322584,0.1558064516129032,0.1845806451612903,0.26419354838709674,82.74516129032256,59.651612903225825,25.651612903225804,1.0058755760368427,0.6837557603686832
NC,2022,4,0.07933112582781457,0.8105629139072851,0.11011920529801324,0.057664900662251675,0.09450331125827814,0.04887417218543046,0.15245033112582787,0.20112582781456945,0.29761589403973504,83.65666666666667,60.53333333333334,26.256666666666675,0.9115053763441097,0.8817204301075137
NC,2022,5,0.07822222222222225,0.8243680555555557,0.09741666666666664,0.054577083333333325,0.09909722222222224,0.05131944444444445,0.14083333333333328,0.1882638888888888,0.2486805555555555,84.62580645161289,61.548387096774206,26.69032258064517,0.969139784946222,1.0150537634408678
NC,2022,6,0.07026717557251906,0.8351984732824428,0.0945343511450382,0.08169083969465653,0.11511450381679388,0.03984732824427481,0.10427480916030536,0.19770992366412213,0.2832824427480917,85.34444444444443,62.211111111111116,27.116666666666664,0.7186379928315461,0.6627240143369093
NC,2022,7,0.08095934959349595,0.8143821138211381,0.10470731707317077,0.029219512195121956,0.10219512195121952,0.04130081300813008,0.13577235772357726,0.1910569105691057,0.2285365853658537,86.3,62.8,28.15,0.9555555555555628,0.5888888888888815
NC,2022,8,0.07455454545454544,0.7878727272727274,0.1375454545454546,0.094,0.10927272727272727,0.05481818181818182,0.1893636363636364,0.08781818181818184,0.21318181818181814,87.02,63.3,28.54,0.7199999999999989,0.5
NC,2022,9,0.127,0.7718814814814814,0.1011851851851852,-0.19860296296296284,0.12155555555555553,0.04148148148148149,0.0791111111111111,0.10733333333333332,0.3835555555555555,87.75000000000001,63.85,29.025,0.7300000000000182,0.5500000000000043
NC,2022,10,0.09838392857142862,0.7773571428571426,0.12427678571428567,0.02026339285714286,0.09464285714285717,0.045625000000000006,0.15410714285714286,0.18633928571428568,0.2508928571428571,89.07500000000002,64.9,30.0,1.3250000000000028,1.0500000000000043
NC,2022,11,0.05599999999999999,0.8765476190476188,0.06742857142857142,0.02805952380952381,0.12071428571428572,0.059285714285714275,0.11976190476190475,0.10071428571428573,0.2661904761904762,90.4,65.9,30.875,1.3249999999999886,1.0
ND,2021,1,0.0538,0.8243857142857143,0.12178571428571425,0.1570171428571428,0.1537142857142857,0.055142857142857146,0.1434285714285714,0.13071428571428576,0.3019999999999999,0.0,0.0,0.0,-90.4,-65.9
ND,2021,2,0.054025,0.86675,0.07925,0.047872500000000005,0.05,0.00975,0.096,0.17800000000000002,0.19075,8.892857142857146,0.0,0.0,8.892857142857146,0.0
ND,2021,3,0.061859649122807024,0.8235614035087717,0.11459649122807015,0.13930175438596493,0.1212280701754386,0.05982456140350877,0.146140350877193,0.1136842105263158,0.1901754385964912,25.97419354838709,13.577419354838707,0.0,17.081336405529942,13.577419354838707
