state,Year,Month,Week,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
OH,2021,4,16,0.06438071065989848,0.8379492385786803,0.09765482233502536,0.032622335025380714,0.10984771573604057,0.040710659898477164,0.0997969543147208,0.15538071065989845,0.223248730964467,38.628571428571426,28.24285714285714,0.0
OH,2021,4,17,0.04943902439024389,0.8181138211382115,0.13245528455284544,0.16398455284552843,0.05943089430894309,0.04943089430894309,0.16170731707317074,0.1448780487804878,0.21853658536585363,39.940000000000005,31.26,0.0
OH,2021,5,17,0.09136666666666668,0.8396999999999999,0.0689,-0.05893999999999999,0.04566666666666667,0.021666666666666667,0.15766666666666668,0.10266666666666667,0.239,40.7,33.0,0.0
OH,2021,5,18,0.05646060606060608,0.8304363636363634,0.11308484848484845,0.09195515151515152,0.10648484848484849,0.02963636363636364,0.12557575757575754,0.18242424242424235,0.20981818181818185,41.285714285714285,34.3,0.0
OH,2021,5,19,0.05045126353790613,0.8429638989169674,0.10657761732851986,0.14821805054151624,0.10844765342960287,0.037833935018050546,0.09332129963898915,0.1651624548736462,0.18693140794223825,42.44285714285714,36.81428571428571,0.0
OH,2021,5,20,0.0709051094890511,0.833905109489051,0.09518248175182481,0.07528394160583943,0.0902919708029197,0.038759124087591246,0.07138686131386861,0.12481751824817519,0.21445255474452554,43.81428571428571,38.37142857142857,0.0
OH,2021,5,21,0.06152941176470589,0.8468308823529413,0.09163970588235297,0.05998455882352941,0.0940441176470588,0.022279411764705884,0.14382352941176468,0.12477941176470587,0.2030147058823529,45.285714285714285,39.642857142857146,0.0
OH,2021,5,22,0.047090909090909065,0.8588181818181817,0.0940909090909091,0.18614545454545456,0.17909090909090908,0.018181818181818184,0.23727272727272727,0.09272727272727273,0.2890909090909091,45.9,40.2,0.0
OH,2021,6,22,0.08291666666666665,0.8295416666666665,0.08754166666666667,0.05052500000000002,0.07808333333333332,0.024166666666666666,0.11933333333333333,0.11408333333333331,0.3304999999999999,46.18333333333334,40.583333333333336,0.0
OH,2021,6,23,0.06284251968503936,0.8397716535433072,0.09739370078740157,0.09009685039370077,0.09086614173228345,0.0352755905511811,0.06748031496062992,0.19897637795275594,0.2607086614173228,46.84285714285715,41.628571428571426,0.0
OH,2021,6,24,0.07367241379310346,0.8432155172413793,0.08311206896551726,0.01530344827586207,0.08456896551724138,0.04629310344827586,0.15318965517241379,0.1500862068965517,0.20396551724137932,47.41428571428571,43.00000000000001,0.0
OH,2021,6,25,0.09067199999999999,0.81708,0.09224,-0.018942400000000005,0.09151999999999999,0.026240000000000003,0.10176,0.11664,0.3033599999999999,47.9,43.957142857142856,0.0
OH,2021,6,26,0.04970731707317074,0.8576829268292685,0.09260975609756096,0.10655853658536585,0.08731707317073172,0.03853658536585366,0.04902439024390245,0.17243902439024392,0.18878048780487805,48.166666666666664,44.666666666666664,0.0
OH,2021,7,26,0.07736000000000001,0.8777999999999999,0.04476,-0.018332,0.0736,0.0068000000000000005,0.10679999999999999,0.1464,0.3072,48.375,44.95,0.0
OH,2021,7,27,0.11407407407407409,0.8216203703703706,0.06431481481481481,-0.06792962962962962,0.0675,0.060000000000000005,0.12537037037037038,0.13916666666666666,0.274074074074074,48.58571428571429,45.31428571428571,0.0
OH,2021,7,28,0.09561256544502617,0.8009319371727744,0.10346073298429317,0.005397382198952877,0.08591623036649215,0.034816753926701575,0.1087958115183246,0.1408900523560209,0.2575392670157068,48.871428571428574,45.67142857142857,0.0
OH,2021,7,29,0.08239382239382242,0.8116949806949812,0.1058918918918919,0.047177606177606156,0.10293436293436292,0.047915057915057915,0.10370656370656367,0.1658301158301158,0.24733590733590735,49.24285714285715,46.028571428571425,0.0
OH,2021,7,30,0.09577366255144032,0.820658436213992,0.08356378600823043,-0.04487407407407409,0.0891358024691358,0.03518518518518518,0.10329218106995884,0.14901234567901236,0.23205761316872425,49.65,46.333333333333336,0.0
OH,2021,8,30,0.10989655172413795,0.7766896551724137,0.11348275862068968,-0.09008965517241378,0.15344827586206897,0.051379310344827595,0.1013793103448276,0.18448275862068966,0.16241379310344828,49.9,46.6,0.0
