state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
AR,2022,8,0.06540625,0.84490625,0.08968750000000002,0.07190624999999998,0.028125,0.0503125,0.1665625,0.151875,0.19625,68.05999999999999,55.46,41.86
AR,2022,9,0.05482352941176471,0.9001764705882355,0.04499999999999999,-0.09035882352941177,0.014705882352941176,0.039411764705882354,0.054117647058823534,0.2988235294117647,0.24,68.375,55.699999999999996,42.175
AR,2022,10,0.10233333333333332,0.7399166666666667,0.15775,0.013849999999999993,0.11708333333333333,0.048749999999999995,0.11125,0.1775,0.33749999999999997,68.75,56.050000000000004,42.8
AR,2022,11,0.09855555555555555,0.8474444444444444,0.053888888888888896,-0.2061888888888889,0.16444444444444445,0.027777777777777776,0.09222222222222223,0.0,0.26999999999999996,69.15,56.349999999999994,43.55
AZ,2021,1,0.08267788461538443,0.828896901709402,0.08842681623931616,0.008469177350427352,0.09645833333333333,0.037788461538461535,0.13488247863247865,0.14997863247863247,0.26908653846153824,0.0,0.0,0.0
AZ,2021,2,0.08952833638025597,0.8172669104204758,0.09320201096892139,0.015220932358318093,0.08747714808043873,0.04958866544789762,0.1468464351005486,0.15548446069469837,0.24666361974405862,7.942857142857143,0.0,0.0
AZ,2021,3,0.07780847595762022,0.8192575387123063,0.1029380603096985,0.050231377343113254,0.11533007334963331,0.04160554197229013,0.13093724531377351,0.1628524857375713,0.24079869600651985,22.861290322580647,11.470967741935487,0.0
AZ,2021,4,0.09146419098143234,0.8137851458885945,0.0947599469496021,-0.01316498673740049,0.10062334217506635,0.040915119363395196,0.17542440318302385,0.1657427055702918,0.2529045092838197,36.05999999999999,23.269999999999996,0.0
AZ,2021,5,0.07622891566265057,0.8308330464716006,0.09295180722891565,0.03917555938037866,0.09111876075731493,0.050120481927710826,0.1224268502581756,0.18201376936316696,0.24576592082616178,43.638709677419364,33.09677419354839,0.0
AZ,2021,6,0.07049999999999994,0.8504730290456431,0.0790331950207469,0.025142531120331952,0.07556016597510373,0.0325103734439834,0.1083195020746888,0.13991701244813273,0.24520746887966804,48.046666666666674,38.18333333333333,0.0
AZ,2021,7,0.08178260869565218,0.8334456521739122,0.08477415458937197,-0.004754347826086955,0.08147342995169081,0.05038647342995167,0.10295893719806765,0.18376811594202888,0.2512922705314011,51.69354838709678,44.28709677419354,0.0
AZ,2021,8,0.07745110410094629,0.8262279179810723,0.09631151419558347,0.010313406940063087,0.0962145110410095,0.04759463722397475,0.12919558359621466,0.1695899053627762,0.2336829652996846,54.99032258064517,46.49032258064516,0.0
AZ,2021,9,0.09414958448753459,0.8232243767313022,0.08261911357340719,-0.03015166204986148,0.08641274238227145,0.07332409972299168,0.1222853185595568,0.17256232686980608,0.23196675900277006,58.230000000000004,49.91666666666666,0.0
AZ,2021,10,0.07786756238003843,0.8300537428023033,0.09207485604606526,0.015079462571976957,0.11426103646833012,0.03222648752399232,0.10216890595009596,0.16239923224568142,0.23351247600767755,60.316129032258054,52.174193548387095,2.8774193548387097
AZ,2021,11,0.08268842105263158,0.8293347368421059,0.08797473684210522,0.013866526315789482,0.09762105263157893,0.05858947368421051,0.13496842105263157,0.17623157894736843,0.22922105263157902,62.68,53.93666666666666,14.633333333333335
AZ,2021,12,0.08424810126582286,0.8390405063291141,0.07672025316455694,4.8227848101260895e-05,0.07763291139240504,0.02850632911392405,0.11979746835443038,0.17093670886075948,0.26987341772151885,66.03548387096774,56.093548387096774,25.65483870967742
